dtRef,idUsuario,qtdeTransacoes,qtdeDias,mediaTransacoesDias,saldoPontos,qtdePontosPos,qtdePontosNeg,qtdeDiasUltimaTransacao,qtdeDiasPrimeiraTransacao,qtdSkuDistintos,qtdeChatMessage,qtdePresença,qtdeTrocaStreamElements,qtdeChurn,qtdePonei,qtdeAirflowLover,qtdePresencaStreak,qtdeDailyLoot,qtdeRLover,qtdeVendaItemRPG,qtdeTransacoesD7,qtdeDiasD7,saldoPontosD7,qtdePontosPosD7,qtdePontosNegD7,qtdeTransacoesD14,qtdeDiasD14,saldoPontosD14,qtdePontosPosD14,qtdePontosNegD14,qtdeTransacoesD28,qtdeDiasD28,saldoPontosD28,qtdePontosPosD28,qtdePontosNegD28,propAvgQtdeTransacoes,propAvgQtdeDias,propAvgMediaTransacoesDias,propAvgSaldoPontos,propAvgQtdePontosPos,propAvgQtdePontosNeg,flagChurn
2024-06-01,000ff655-fa9f-4baa-a108-47f581ec52a1,266,27,9.85185185185185,635,2635,-2000,1.0,89.0,5,235,26,2,0,2,0,1,0,0,0,3,2,101,101,0,3,2,101,101,0,4,3,151,151,0,3.88978076499506,3.27828054298643,2.1356016791258,1.51631388965622,4.10192570103229,8.94444444444444,1
2024-10-01,000ff655-fa9f-4baa-a108-47f581ec52a1,268,28,9.57142857142857,686,2686,-2000,4.0,211.0,5,236,27,2,0,2,0,1,0,0,0,2,1,51,51,0,2,1,51,51,0,2,1,51,51,0,3.3098645594986,2.56761462565293,2.32873671257909,1.288278222835,2.92095357276937,5.16703680250206,1
2024-04-01,000ff655-fa9f-4baa-a108-47f581ec52a1,188,11,17.0909090909091,275,1275,-1000,3.0,28.0,5,175,10,1,0,1,0,1,0,0,0,71,5,-87,913,-1000,183,9,221,1221,-1000,188,11,275,1275,-1000,3.80546792849632,1.8202005730659,3.7390483196502,0.798622133241978,2.63455083379363,7.16279069767442,0
2024-05-01,000ff655-fa9f-4baa-a108-47f581ec52a1,262,24,10.9166666666667,484,2484,-2000,2.0,58.0,5,234,23,2,0,2,0,1,0,0,0,13,3,-841,159,-1000,23,6,-684,316,-1000,70,11,107,1107,-1000,4.24621580140526,3.25524393118077,2.32264006203891,1.2757493038253,4.27576450038285,9.92241379310345,0
2024-08-01,001749bd-37b5-4b1e-8111-f9fbba90f530,1,1,1.0,50,50,0,21.0,21.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.0133167928301982,0.103973117216841,0.236635300346601,0.104532524983803,0.0633020059274426,0.0,1
2024-07-01,0019bb9e-26d4-4ebf-8727-fc911ea28a92,2,2,1.0,2,2,0,25.0,63.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.0272507662487707,0.221807725188467,0.221967918243908,0.0044298266717784,0.00280679255600063,0.0,1
2024-05-01,0019bb9e-26d4-4ebf-8727-fc911ea28a92,1,1,1.0,1,1,0,2.0,2.0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0.0162069305397147,0.135635163799199,0.212760921713488,0.00263584566906053,0.001721322262634,0.0,1
2025-02-01,0033b737-8235-4c0f-9801-dc4ca185af00,94,5,18.8,339,339,0,2.0,138.0,2,89,5,0,0,0,0,0,0,0,0,93,4,289,289,0,93,4,289,289,0,93,4,289,289,0,1.13262891004356,0.428666004634227,4.66728437591542,0.643888809442617,0.348821548821549,0.0,0
2025-04-01,0033b737-8235-4c0f-9801-dc4ca185af00,445,25,17.8,2066,2066,0,6.0,197.0,4,416,25,0,0,1,0,3,0,0,0,2,1,51,51,0,62,6,455,455,0,190,12,976,976,0,5.46347739326787,2.12306127637935,4.50184660064433,3.98938873742659,2.19104812060429,0.0,1
2025-03-01,0033b737-8235-4c0f-9801-dc4ca185af00,255,13,19.6153846153846,1090,1090,0,10.0,166.0,4,240,13,0,0,1,0,1,0,0,0,0,0,0,0,0,72,3,318,318,0,161,8,751,751,0,3.15524944154877,1.12748484150741,4.91720449513878,2.10049711367105,1.16168194417853,0.0,0
2024-10-01,0033b737-8235-4c0f-9801-dc4ca185af00,1,1,1.0,50,50,0,15.0,15.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.0123502408936515,0.0917005223447475,0.243300850567965,0.0938978296526969,0.0543736703791766,0.0,1
2024-03-01,0097ab76-4637-4ece-8ebc-ab6abd61d662,5,3,1.66666666666667,152,152,0,22.0,30.0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.165855288277969,0.808766485647789,0.358984535749737,0.58992371868613,0.517655360310476,0.0,1
2024-06-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,25,18,1.38888888888889,2004,2004,0,1.0,47.0,4,4,18,0,0,2,0,1,0,0,0,5,3,651,651,0,9,7,851,851,0,12,10,1001,1001,0,0.365580898965701,2.18552036199095,0.301071665290291,4.78534336200168,3.11964292404884,0.0,0
2024-09-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,151,71,2.12676056338028,1884,11884,-10000,2.0,139.0,8,14,70,13,41,5,0,8,0,0,0,9,4,601,601,0,21,9,451,1451,-1000,42,17,233,3233,-3000,1.9432380981861,6.84719322662955,0.51437448692848,3.71283218088416,13.8298024802977,28.419237585168,0
2025-03-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,224,106,2.11320754716981,6637,16637,-10000,2.0,320.0,8,17,105,13,74,7,0,8,0,0,0,1,1,50,50,0,1,1,50,50,0,1,1,50,50,0,2.77167009767421,9.19333793844501,0.529741009613176,12.7899076545273,17.7311032158699,23.8452967789858,1
2024-10-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,182,85,2.14117647058824,4585,14585,-10000,1.0,169.0,8,15,84,13,55,7,0,8,0,0,0,10,5,550,550,0,18,8,1950,1950,0,31,14,2701,2701,0,2.24774384264457,7.79454439930354,0.52095005651023,8.61043097915231,15.8607996496058,25.8351840125103,0
2024-11-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,209,98,2.13265306122449,5887,15887,-10000,1.0,200.0,8,17,97,13,67,7,0,8,0,0,0,5,2,152,152,0,9,4,352,352,0,23,11,1052,1052,0,2.52224392214964,8.6213058419244,0.523333961729214,10.6971893968124,16.6102697246743,24.6229609110496,0
2024-05-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,12,7,1.71428571428571,953,953,0,2.0,16.0,4,3,7,0,0,1,0,1,0,0,0,3,2,600,600,0,9,5,852,852,0,12,7,953,953,0,0.194483166476577,0.949446146594391,0.364733008651694,2.51196092261469,1.6404201162902,0.0,0
2024-12-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,221,104,2.125,6487,16487,-10000,6.0,230.0,8,17,103,13,73,7,0,8,0,0,0,2,1,100,100,0,6,3,300,300,0,12,6,600,600,0,2.64221190375686,8.92356450410142,0.528598901453155,11.463892181943,16.7274998332903,23.82320361916,0
2024-08-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,103,52,1.98076923076923,1531,7531,-6000,2.0,108.0,7,11,52,7,22,5,0,6,0,0,0,7,2,660,1660,-1000,15,6,891,1891,-1000,36,14,1312,3312,-2000,1.37162966151042,5.40660209527575,0.468719921840383,3.20078591500406,9.5345481327914,19.2588946273217,0
2024-07-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,60,35,1.71428571428571,959,3959,-3000,3.0,77.0,6,9,35,3,6,3,0,4,0,0,0,14,5,101,1101,-1000,21,10,501,1501,-1000,35,17,-1045,1955,-3000,0.81752298746312,3.88163519079817,0.380516431275272,2.12410188911774,5.55604586460324,11.4910750234868,0
2025-04-01,0122142b-464c-414a-9aad-e901f492a1a3,23,4,5.75,121,121,0,7.0,81.0,2,21,2,0,0,0,0,0,0,0,0,2,1,2,2,0,2,1,2,2,0,2,1,2,2,0,0.282381977629575,0.339689804220697,1.45424819964634,0.233647646286843,0.128323728263852,0.0,1
2025-02-01,0122142b-464c-414a-9aad-e901f492a1a3,8,1,8.0,57,57,0,22.0,22.0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,57,57,0,0.096393949790941,0.0857332009268454,1.98607845783635,0.108264490083272,0.0586514108638002,0.0,0
2025-03-01,0122142b-464c-414a-9aad-e901f492a1a3,21,3,7.0,119,119,0,19.0,50.0,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,62,62,0,0.259844071656958,0.260188809578632,1.75476709434364,0.229320327088858,0.126825826933252,0.0,0
2024-03-01,012bc897-e45c-4e6a-a742-7e00fa2e59e5,2,1,2.0,51,51,0,25.0,25.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,51,51,0,0.0663421153111875,0.269588828549263,0.430781442899685,0.197934931927583,0.173686995893646,0.0,1
2024-06-01,0136afea-76c9-45c0-b9db-0212595418e5,1,1,1.0,50,50,0,19.0,19.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.0146232359586281,0.121417797888386,0.21677159900901,0.11939479446112,0.0778354022966278,0.0,1
2024-12-01,014491f5-caa3-4122-be69-a31411ad4bd7,7,6,1.16666666666667,154,154,0,6.0,279.0,2,4,3,0,0,0,0,0,0,0,0,1,1,50,50,0,1,1,50,50,0,1,1,50,50,0,0.0836899698022535,0.514821029082774,0.290211161582124,0.272150361649332,0.156246435029217,0.0,1
2024-03-01,014491f5-caa3-4122-be69-a31411ad4bd7,4,3,1.33333333333333,53,53,0,1.0,4.0,2,3,1,0,0,0,0,0,0,0,0,4,3,53,53,0,4,3,53,53,0,4,3,53,53,0,0.132684230622375,0.808766485647789,0.28718762859979,0.205697086120822,0.180498250634574,0.0,0
2024-07-01,014491f5-caa3-4122-be69-a31411ad4bd7,6,5,1.2,104,104,0,10.0,126.0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,1,1,50,50,0,0.081752298746312,0.554519312971167,0.26636150189269,0.230350986932477,0.145953212912033,0.0,1
2024-04-01,014491f5-caa3-4122-be69-a31411ad4bd7,5,4,1.25,54,54,0,24.0,35.0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.101209253417455,0.66189111747851,0.27346762976165,0.156820346163879,0.111580976490083,0.0,1
2025-02-01,0147f062-0e6c-46a9-a66d-d0bc4d651a73,1,1,1.0,50,50,0,24.0,24.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,0.0120492437238676,0.0857332009268454,0.248259807229543,0.0949688509502385,0.0514486060208774,0.0,1
2024-03-01,014b7774-561a-4a58-93d7-070667df90fb,28,2,14.0,126,126,0,24.0,25.0,2,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,126,126,0,0.928789614356625,0.539177657098526,3.01547010029779,0.489015714174029,0.429109048678421,0.0,1
2024-04-01,015e35f3-70d3-43f3-895d-cdea386118d7,16,6,2.66666666666667,114,114,0,5.0,31.0,2,14,2,0,0,0,0,0,0,0,0,4,1,4,4,0,12,3,61,61,0,15,5,64,64,0,0.323869610935857,0.992836676217765,0.583397610158188,0.331065175234857,0.235559839256842,0.0,1
2024-11-01,015e35f3-70d3-43f3-895d-cdea386118d7,19,7,2.71428571428571,166,166,0,10.0,245.0,2,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,52,52,0,3,1,52,52,0,0.229294902013604,0.615807560137457,0.666061405837181,0.301636392028343,0.173557296802161,0.0,1
2024-08-01,015fe52e-cc46-40c2-a496-2d228208bb2e,2,2,1.0,100,100,0,2.0,3.0,1,0,2,0,0,0,0,0,0,0,0,2,2,100,100,0,2,2,100,100,0,2,2,100,100,0,0.0266335856603965,0.207946234433683,0.236635300346601,0.209065049967607,0.126604011854885,0.0,1
2025-01-01,016cfd4a-8dd3-4d78-9a08-b6829775f86d,5,1,5.0,54,54,0,20.0,20.0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,54,54,0,0.0585193334452131,0.0838678068768929,1.25191183738443,0.095274860880638,0.0535443187951712,0.0,1
2024-05-01,01cada67-8f31-475b-8b34-344d953d739a,2,1,2.0,51,51,0,16.0,16.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,51,51,0,0.0324138610794294,0.135635163799199,0.425521843426977,0.134428129122087,0.0877874353943338,0.0,1
2025-03-01,01ccd9fc-a0d4-4bb3-8d70-005818be596c,1,1,1.0,50,50,0,10.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,50,0,1,1,50,50,0,0.0123735272217599,0.0867296031928774,0.250681013477663,0.0963530786087639,0.0532881625769967,0.0,1
2024-04-01,01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,9,4,2.25,107,107,0,20.0,35.0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0.18217665615142,0.66189111747851,0.492241733570971,0.310736611843243,0.221095638600721,0.0,0
2024-08-01,01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,28,8,3.5,175,175,0,23.0,157.0,2,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10,10,0,0.372870199245551,0.83178493773473,0.828223551213103,0.365863837443312,0.221557020746049,0.0,1
2024-05-01,01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,18,7,2.57142857142857,165,165,0,8.0,65.0,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,7,7,0,9,3,58,58,0,0.291724749714865,0.949446146594391,0.547099512977542,0.434914535394988,0.284018173334609,0.0,1
2024-03-01,01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,4,2,2.0,102,102,0,3.0,4.0,2,2,2,0,0,0,0,0,0,0,0,4,2,102,102,0,4,2,102,102,0,4,2,102,102,0,0.132684230622375,0.539177657098526,0.430781442899685,0.395869863855166,0.347373991787293,0.0,0
2024-08-01,01f3a765-a092-4999-be4b-98fc5404653b,4,4,1.0,151,151,0,3.0,181.0,2,1,3,0,0,0,0,0,0,0,0,1,1,50,50,0,1,1,50,50,0,2,2,100,100,0,0.0532671713207929,0.415892468867365,0.236635300346601,0.315688225451086,0.191172057900877,0.0,0
2024-07-01,01f3a765-a092-4999-be4b-98fc5404653b,2,2,1.0,51,51,0,7.0,150.0,2,1,1,0,0,0,0,0,0,0,0,1,1,50,50,0,1,1,50,50,0,1,1,50,50,0,0.0272507662487707,0.221807725188467,0.221967918243908,0.112960580130349,0.0715732101780159,0.0,0
2024-09-01,01f3a765-a092-4999-be4b-98fc5404653b,6,5,1.2,202,202,0,9.0,212.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,51,51,0,2,1,51,51,0,0.0772147588683217,0.482196706100673,0.290229842955672,0.398084979054458,0.23507405764222,0.0,1
